epoch: 0	train ppl: 463.0041986433781	val ppl: 252.3223831018671	best val: 252.3223831018671	time (s) spent in epoch: 77.47441840171814
epoch: 1	train ppl: 217.0393793416426	val ppl: 196.46806624366937	best val: 196.46806624366937	time (s) spent in epoch: 77.38923263549805
epoch: 2	train ppl: 166.0972920733207	val ppl: 175.41931560893173	best val: 175.41931560893173	time (s) spent in epoch: 77.58850812911987
epoch: 3	train ppl: 139.16563118765305	val ppl: 165.0630076412016	best val: 165.0630076412016	time (s) spent in epoch: 77.74606657028198
epoch: 4	train ppl: 121.32122818399992	val ppl: 159.3683314839663	best val: 159.3683314839663	time (s) spent in epoch: 77.9393527507782
epoch: 5	train ppl: 107.93596702626193	val ppl: 155.96748712403678	best val: 155.96748712403678	time (s) spent in epoch: 77.86851644515991
epoch: 6	train ppl: 97.75620304043937	val ppl: 155.90529275642223	best val: 155.90529275642223	time (s) spent in epoch: 78.02934312820435
epoch: 7	train ppl: 89.38879371175621	val ppl: 155.95220461313613	best val: 155.90529275642223	time (s) spent in epoch: 77.86650395393372
epoch: 8	train ppl: 82.91194008000281	val ppl: 156.82900660563078	best val: 155.90529275642223	time (s) spent in epoch: 77.96929860115051
epoch: 9	train ppl: 77.43985875329902	val ppl: 158.43682394333618	best val: 155.90529275642223	time (s) spent in epoch: 77.91270303726196
epoch: 10	train ppl: 72.726367180429	val ppl: 159.29076177805223	best val: 155.90529275642223	time (s) spent in epoch: 77.86725735664368
epoch: 11	train ppl: 68.72492892030088	val ppl: 170.8367796179428	best val: 155.90529275642223	time (s) spent in epoch: 77.85252261161804
epoch: 12	train ppl: 65.23279205903097	val ppl: 163.58234513534276	best val: 155.90529275642223	time (s) spent in epoch: 77.9923038482666
epoch: 13	train ppl: 62.2313313852563	val ppl: 177.9651201480572	best val: 155.90529275642223	time (s) spent in epoch: 78.03175044059753
epoch: 14	train ppl: 59.407070681026376	val ppl: 180.67950523865375	best val: 155.90529275642223	time (s) spent in epoch: 78.02323818206787
epoch: 15	train ppl: 57.11046004560102	val ppl: 171.14924008461443	best val: 155.90529275642223	time (s) spent in epoch: 77.82098436355591
epoch: 16	train ppl: 54.93744468449683	val ppl: 186.20496069578513	best val: 155.90529275642223	time (s) spent in epoch: 77.79706692695618
epoch: 17	train ppl: 53.13362228749125	val ppl: 175.83025978136527	best val: 155.90529275642223	time (s) spent in epoch: 77.72089076042175
epoch: 18	train ppl: 51.4945691400392	val ppl: 185.30885218371577	best val: 155.90529275642223	time (s) spent in epoch: 77.67627930641174
epoch: 19	train ppl: 49.960812949994065	val ppl: 180.1094484413976	best val: 155.90529275642223	time (s) spent in epoch: 77.68017983436584
