epoch: 0	train ppl: 155554.53908000037	val ppl: 46616852862061.97	best val: 46616852862061.97	time (s) spent in epoch: 77.14829134941101
epoch: 1	train ppl: 418423.7175601238	val ppl: 21574.653417259018	best val: 21574.653417259018	time (s) spent in epoch: 76.9305477142334
epoch: 2	train ppl: 425748.9635720642	val ppl: 79533.47505554906	best val: 21574.653417259018	time (s) spent in epoch: 77.09428977966309
epoch: 3	train ppl: 157964.650009249	val ppl: 159861.63664356616	best val: 21574.653417259018	time (s) spent in epoch: 76.92668581008911
epoch: 4	train ppl: 187745.1462602662	val ppl: 14594602.044598816	best val: 21574.653417259018	time (s) spent in epoch: 76.87716245651245
epoch: 5	train ppl: 289199.6797508307	val ppl: 77549.78501911383	best val: 21574.653417259018	time (s) spent in epoch: 77.01646733283997
epoch: 6	train ppl: 239259.81242262363	val ppl: 35538.833398106384	best val: 21574.653417259018	time (s) spent in epoch: 77.00509524345398
epoch: 7	train ppl: 323433.238085445	val ppl: 50064.491015507556	best val: 21574.653417259018	time (s) spent in epoch: 77.19193482398987
epoch: 8	train ppl: 615223.5097737901	val ppl: 71010.02011137336	best val: 21574.653417259018	time (s) spent in epoch: 76.938143491745
epoch: 9	train ppl: 1366305.6655899815	val ppl: 142264235.1383266	best val: 21574.653417259018	time (s) spent in epoch: 76.95613098144531
epoch: 10	train ppl: 1865450.2570370343	val ppl: 2100457.4360867757	best val: 21574.653417259018	time (s) spent in epoch: 77.0699610710144
epoch: 11	train ppl: 911609.7588031882	val ppl: 32054259.24125924	best val: 21574.653417259018	time (s) spent in epoch: 77.1675181388855
epoch: 12	train ppl: 309077.9125719404	val ppl: 17635.045841956013	best val: 17635.045841956013	time (s) spent in epoch: 77.18619656562805
epoch: 13	train ppl: 189192.95117248784	val ppl: 74764.8979106777	best val: 17635.045841956013	time (s) spent in epoch: 77.29846096038818
epoch: 14	train ppl: 375573.3485603333	val ppl: 17993.030081332196	best val: 17635.045841956013	time (s) spent in epoch: 77.16111779212952
epoch: 15	train ppl: 185964.83571997058	val ppl: 926288.2732573244	best val: 17635.045841956013	time (s) spent in epoch: 77.23433661460876
epoch: 16	train ppl: 193860.96888162076	val ppl: 84120.30470109114	best val: 17635.045841956013	time (s) spent in epoch: 77.38043975830078
epoch: 17	train ppl: 328725.8883268797	val ppl: 26888793.866340794	best val: 17635.045841956013	time (s) spent in epoch: 77.2789375782013
epoch: 18	train ppl: 274299.61865103635	val ppl: 63714.76334769575	best val: 17635.045841956013	time (s) spent in epoch: 77.06127572059631
epoch: 19	train ppl: 242811.78392387685	val ppl: 53347.64653830659	best val: 17635.045841956013	time (s) spent in epoch: 77.0161874294281
