epoch: 0	train ppl: 472.7000933901654	val ppl: 252.41955001193946	best val: 252.41955001193946	time (s) spent in epoch: 219.86466431617737
epoch: 1	train ppl: 207.65436877693506	val ppl: 183.36256427313222	best val: 183.36256427313222	time (s) spent in epoch: 220.05479550361633
epoch: 2	train ppl: 150.92346971443237	val ppl: 155.0667912408817	best val: 155.0667912408817	time (s) spent in epoch: 220.17764496803284
epoch: 3	train ppl: 120.34019728634345	val ppl: 139.73220276418166	best val: 139.73220276418166	time (s) spent in epoch: 220.48581051826477
epoch: 4	train ppl: 99.7668180631026	val ppl: 130.66934968799671	best val: 130.66934968799671	time (s) spent in epoch: 220.4719476699829
epoch: 5	train ppl: 84.60864212394488	val ppl: 125.40946027622799	best val: 125.40946027622799	time (s) spent in epoch: 220.31341767311096
epoch: 6	train ppl: 72.80825733994196	val ppl: 122.44385794732861	best val: 122.44385794732861	time (s) spent in epoch: 220.3123378753662
epoch: 7	train ppl: 63.33035228665685	val ppl: 120.81913258950794	best val: 120.81913258950794	time (s) spent in epoch: 220.19638299942017
epoch: 8	train ppl: 55.343661933204224	val ppl: 121.5585011382199	best val: 120.81913258950794	time (s) spent in epoch: 220.16776585578918
epoch: 9	train ppl: 48.667014024345	val ppl: 123.44442325589128	best val: 120.81913258950794	time (s) spent in epoch: 220.29836797714233
epoch: 10	train ppl: 42.93950430167042	val ppl: 125.97941108394006	best val: 120.81913258950794	time (s) spent in epoch: 220.12445259094238
epoch: 11	train ppl: 37.94526364989267	val ppl: 128.8495108897237	best val: 120.81913258950794	time (s) spent in epoch: 220.11677408218384
epoch: 12	train ppl: 33.611314082870024	val ppl: 134.194119228837	best val: 120.81913258950794	time (s) spent in epoch: 220.19853401184082
epoch: 13	train ppl: 29.838590545187632	val ppl: 139.98024694551813	best val: 120.81913258950794	time (s) spent in epoch: 220.4179346561432
epoch: 14	train ppl: 26.51635723770898	val ppl: 146.19025774519227	best val: 120.81913258950794	time (s) spent in epoch: 220.06222939491272
epoch: 15	train ppl: 23.635621987249447	val ppl: 154.37432145910003	best val: 120.81913258950794	time (s) spent in epoch: 220.18754076957703
epoch: 16	train ppl: 21.07230017052281	val ppl: 162.2190422428008	best val: 120.81913258950794	time (s) spent in epoch: 219.91591334342957
epoch: 17	train ppl: 18.805031530050247	val ppl: 173.12552544242408	best val: 120.81913258950794	time (s) spent in epoch: 220.051344871521
epoch: 18	train ppl: 16.793718122382224	val ppl: 184.6934894608728	best val: 120.81913258950794	time (s) spent in epoch: 220.3896164894104
epoch: 19	train ppl: 14.984138479775124	val ppl: 197.6921764129016	best val: 120.81913258950794	time (s) spent in epoch: 221.39490580558777
